0	0.	0.804196452	0.7213057					
0.13	1.40741	1.257593476	1.2287157					
0.2	1.48148	1.323778844	1.3027857					
0.28	1.55556	1.389973148	1.3768657					
0.34	1.60494	1.434096726	1.4262457					
0.42	1.62963	1.456158516	1.4509357					
0.5	1.65432	1.478220305	1.4756257					
0.59	1.67901	1.500282094	1.5003157					
0.68	1.7037	1.522343884	1.5250057					
0.79	1.7284	1.544414608	1.5497057					
0.88	1.77778	1.588538187	1.5990857					
0.98	1.80247	1.610599976	1.6237757					
1.07	1.85185	1.654723555	1.6731557					
1.15	1.90123	1.698847134	1.7225357					
1.25	1.92593	1.720917859	1.7472357					
1.33	1.87654	1.676785344	1.6978457					
1.4	1.82716	1.632661766	1.6484657					
1.48	1.75309	1.566476398	1.5743957					
1.56	1.67901	1.500282094	1.5003157					
1.66	1.65432	1.478220305	1.4756257					
1.78	1.65432	1.478220305	1.4756257					
1.88	1.67901	1.500282094	1.5003157					
2	0.	1.500282094	1.5003157					
								
