0.43	2.1	2.041394953	2.0569375	
0.52	2.1	2.041394953	2.0569375	
0.58	2.075	2.017092632	2.0319375	
0.64	2.05	1.992790311	2.0069375	
0.7	2.05	1.992790311	2.0069375	
0.78	2	1.94418567	1.9569375	
0.84	1.925	1.871278707	1.8819375	
0.92	1.825	1.774069424	1.7819375	
0.97	1.75	1.701162461	1.7069375	
1.03	1.65	1.603953178	1.6069375	
1.11	1.525	1.482441573	1.4819375	
1.17	1.375	1.336627648	1.3319375	
1.21	1.275	1.239418364	1.2319375	
1.24	1.2	1.166511402	1.1569375	
1.29	1.2	1.166511402	1.1569375	
1.36	1.15	1.11790676	1.1069375	
1.45	1.125	1.093604439	1.0819375	
1.54	1.125	1.093604439	1.0819375	
1.64	1.15	1.11790676	1.1069375	
1.74	1.175	1.142209081	1.1319375	
1.86	1.2	1.166511402	1.1569375	
