0.0594059	  0.0125	   
0.267327 	  0.0125	   
0.356436 	  0.0125	   
0.455446 	  0.0125	   
0.564356 	  0.0125	   
0.673267 	  0.0125	   
0.732673 	  0.0125	   
0.772277 	  0.025 	   
0.80198	   	  0.05    
0.851485 	  0.075 	   
0.891089 	  0.125 	   
0.930693 	  0.175 	   
0.970297 	  0.2375	   
1	   	  0.2875  
1.0198	   	  0.375   
1.0396	   	  0.45    
1.05941	   	  0.55    
1.06931	   	  0.6125  
1.07921	   	  0.7	  
1.10891	   	  0.775   
1.11881	   	  0.825   
1.13861	   	  0.8625  
1.15842	   	  0.9	  
1.18812	   	  0.9375  
1.21782	   	  0.9625  
1.23762	   	  0.9875  
1.26733	   	  1	  
1.48515	   	  1	  
1.69307	   	  1	  
1.88119	 	  1		   
