0.149254	0.0125	     						     
0.199005	0.025	     						     
0.308458	0	     						     
0.497512	0.0125	     						     
0.567164	0.025	     						     
0.676617	0.025	     						     
0.746269	0.0375	     						     
0.81592		0.0375	     					     
0.875622	0.05	     						     
0.915423	0.0625	     						     
0.985075	0.075	     						     
1.05473		0.0875	     					     
1.10448		0.1	     					     
1.14428		0.1	     					     
1.18408		0.1375	     					     
1.21393		0.175	     					     
1.24378		0.2	     					     
1.28358		0.25	     					     
1.30348		0.3	     					     
1.33333		0.3625	     					     
1.36318		0.45	     					     
1.38308		0.5125	     					     
1.39303		0.65	     					     
1.40299		0.7125	     					     
1.42289		0.7625	     					     
1.44279		0.8125	     					     
1.46269		0.8625	     					     
1.49254		0.9	     					     
1.52239		0.9375	     					     
1.55224		0.95	     					     
1.61194		0.9625	     					     
1.69154		0.9875	     					     
1.81095		0.9875	     					     
1.91045 	0.9875	
