# short_name_of_module api_name_of_variable variable_type variable_fortran_name dim1 ndim readonly get_pos set_pos description
t2d;MODEL.TEST1;double;TEST1;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE DOUBLE
t2d;MODEL.TEST2;boolean;TEST2;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE BOOLEAN
t2d;MODEL.TEST3;integer;TEST3;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE INTEGER
t2d;MODEL.TEST4;string;TEST4;144;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE STRING DIM1 IS LENGTH OF STRING
t2d;MODEL.TEST5;bief_integer;TEST5;0;2;FALSE;NO_POSITION;NO_POSITION;A 2 DIMENSIONAL INTEGER BIEF_OBJ
t2d;MODEL.TEST6;bief_double;TEST6;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL DOUBLE BIEF_OBJ
t2d;MODEL.TEST7;double;TEST7;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL DOUBLE ARRAY
t2d;MODEL.TEST8;integer;TEST8;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL INTEGER ARRAY
t2d;MODEL.TEST9;bloc_double;TEST9;0;1;FALSE;NO_POSITION;NO_POSITION;A DOUBLE BLOC ARRAY
art;MODEL.TEST1;double;TEST1;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE DOUBLE
art;MODEL.TEST2;boolean;TEST2;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE BOOLEAN
art;MODEL.TEST3;integer;TEST3;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE INTEGER
art;MODEL.TEST4;string;TEST4;144;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE STRING DIM1 IS LENGTH OF STRING
art;MODEL.TEST5;bief_integer;TEST5;0;2;FALSE;NO_POSITION;NO_POSITION;A 2 DIMENSIONAL INTEGER BIEF_OBJ
art;MODEL.TEST6;bief_double;TEST6;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL DOUBLE BIEF_OBJ
art;MODEL.TEST7;double;TEST7;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL DOUBLE ARRAY
art;MODEL.TEST8;integer;TEST8;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL INTEGER ARRAY
art;MODEL.TEST9;bloc_double;TEST9;0;1;FALSE;NO_POSITION;NO_POSITION;A DOUBLE BLOC ARRAY
t3d;MODEL.TEST1;double;TEST1;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE DOUBLE
t3d;MODEL.TEST2;boolean;TEST2;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE BOOLEAN
t3d;MODEL.TEST3;integer;TEST3;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE INTEGER
t3d;MODEL.TEST4;string;TEST4;144;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE STRING DIM1 IS LENGTH OF STRING
t3d;MODEL.TEST5;bief_integer;TEST5;0;2;FALSE;NO_POSITION;NO_POSITION;A 2 DIMENSIONAL INTEGER BIEF_OBJ
t3d;MODEL.TEST6;bief_double;TEST6;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL DOUBLE BIEF_OBJ
t3d;MODEL.TEST7;double;TEST7;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL DOUBLE ARRAY
t3d;MODEL.TEST8;integer;TEST8;0;1;FALSE;NO_POSITION;NO_POSITION;A 1 DIMENSIONAL INTEGER ARRAY
t3d;MODEL.TEST9;bloc_double;TEST9;0;1;FALSE;NO_POSITION;NO_POSITION;A DOUBLE BLOC ARRAY
wac;MODEL.TEST1;double;TEST1;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE DOUBLE
wac;MODEL.TEST2;boolean;TEST2;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE BOOLEAN
wac;MODEL.TEST3;integer;TEST3;0;0;FALSE;NO_POSITION;NO_POSITION;A SIMPLE INTEGER
