Date, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
01/05/2019 00:00,,,,-2.5,1005.7,,
01/05/2019 00:06,,,,-2.4,1005.7,,
01/05/2019 00:12,,,,-2.7,1005.6,,
01/05/2019 00:18,,,,-2.9,1005.5,,
01/05/2019 00:24,,,,-3.0,1005.4,,
01/05/2019 00:30,,,,-3.0,1005.4,,
01/05/2019 00:36,,,,-3.1,1005.2,,
01/05/2019 00:42,,,,-3.3,1005.2,,
01/05/2019 00:48,,,,-3.3,1005.1,,
01/05/2019 00:54,,,,-3.4,1005.1,,
01/05/2019 01:00,,,,-3.4,1005.0,,
01/05/2019 01:06,,,,-3.4,1005.1,,
01/05/2019 01:12,,,,-3.4,1005.0,,
01/05/2019 01:18,,,,-3.4,1005.2,,
01/05/2019 01:24,,,,-3.5,1005.2,,
01/05/2019 01:30,,,,-3.4,1005.2,,
01/05/2019 01:36,,,,-3.4,1005.2,,
01/05/2019 01:42,,,,-3.6,1005.2,,
01/05/2019 01:48,,,,-3.4,1005.3,,
01/05/2019 01:54,,,,-3.1,1005.3,,
01/05/2019 02:00,,,,-3.0,1005.3,,
01/05/2019 02:06,,,,-3.0,1005.2,,
01/05/2019 02:12,,,,-3.2,1005.2,,
01/05/2019 02:18,,,,-3.3,1005.1,,
01/05/2019 02:24,,,,-3.5,1005.2,,
01/05/2019 02:30,,,,-3.3,1005.2,,
01/05/2019 02:36,,,,-3.0,1005.2,,
01/05/2019 02:42,,,,-2.8,1005.0,,
01/05/2019 02:48,,,,-2.8,1005.0,,
01/05/2019 02:54,,,,-3.0,1004.9,,
01/05/2019 03:00,,,,-2.6,1004.8,,
01/05/2019 03:06,,,,-2.5,1004.7,,
01/05/2019 03:12,,,,-2.7,1004.7,,
01/05/2019 03:18,,,,-3.0,1004.6,,
01/05/2019 03:24,,,,-3.2,1004.5,,
01/05/2019 03:30,,,,-3.5,1004.5,,
01/05/2019 03:36,,,,-3.5,1004.5,,
01/05/2019 03:42,,,,-3.3,1004.4,,
01/05/2019 03:48,,,,-3.2,1004.3,,
01/05/2019 03:54,,,,-3.2,1004.2,,
01/05/2019 04:00,,,,-3.0,1004.1,,
01/05/2019 04:06,,,,-2.6,1004.0,,
01/05/2019 04:12,,,,-2.9,1003.9,,
01/05/2019 04:18,,,,-3.4,1003.9,,
01/05/2019 04:24,,,,-3.7,1003.9,,
01/05/2019 04:30,,,,-4.1,1004.0,,
01/05/2019 04:36,,,,-4.2,1004.0,,
01/05/2019 04:42,,,,-4.2,1004.1,,
01/05/2019 04:48,,,,-4.5,1004.1,,
01/05/2019 04:54,,,,-4.3,1004.0,,
01/05/2019 05:00,,,,-4.1,1004.0,,
01/05/2019 05:06,,,,-3.9,1004.0,,
01/05/2019 05:12,,,,-3.5,1004.0,,
01/05/2019 05:18,,,,-3.5,1003.9,,
01/05/2019 05:24,,,,-3.2,1004.0,,
01/05/2019 05:30,,,,-3.3,1004.1,,
01/05/2019 05:36,,,,-3.0,1004.2,,
01/05/2019 05:42,,,,-3.0,1004.3,,
01/05/2019 05:48,,,,-2.4,1004.3,,
01/05/2019 05:54,,,,-2.9,1004.5,,
01/05/2019 06:00,,,,-2.9,1004.5,,
01/05/2019 06:06,,,,-2.9,1004.6,,
01/05/2019 06:12,,,,-2.9,1004.7,,
01/05/2019 06:18,,,,-3.2,1004.7,,
01/05/2019 06:24,,,,-3.5,1004.8,,
01/05/2019 06:30,,,,-3.7,1004.9,,
01/05/2019 06:36,,,,-3.9,1004.9,,
01/05/2019 06:42,,,,-4.0,1005.0,,
01/05/2019 06:48,,,,-4.2,1005.1,,
01/05/2019 06:54,,,,-4.3,1005.1,,
01/05/2019 07:00,,,,-4.5,1005.2,,
01/05/2019 07:06,,,,-3.8,1005.2,,
01/05/2019 07:12,,,,-3.7,1005.2,,
01/05/2019 07:18,,,,-3.8,1005.1,,
01/05/2019 07:24,,,,-3.5,1005.0,,
01/05/2019 07:30,,,,-3.5,1004.9,,
01/05/2019 07:36,,,,-3.8,1004.9,,
01/05/2019 07:42,,,,-3.5,1004.8,,
01/05/2019 07:48,,,,-3.3,1004.7,,
01/05/2019 07:54,,,,-2.5,1004.7,,
01/05/2019 08:00,,,,-2.9,1004.7,,
01/05/2019 08:06,,,,-2.8,1004.6,,
01/05/2019 08:12,,,,-2.2,1004.7,,
01/05/2019 08:18,,,,-2.1,1004.8,,
01/05/2019 08:24,,,,-2.2,1004.8,,
01/05/2019 08:30,,,,-2.0,1004.9,,
01/05/2019 08:36,,,,-1.8,1005.0,,
01/05/2019 08:42,,,,-1.5,1005.1,,
01/05/2019 08:48,,,,-1.5,1005.1,,
01/05/2019 08:54,,,,-1.4,1004.9,,
01/05/2019 09:00,,,,-1.3,1004.9,,
01/05/2019 09:06,,,,-1.3,1004.9,,
01/05/2019 09:12,,,,-1.2,1004.8,,
01/05/2019 09:18,,,,-1.0,1004.8,,
01/05/2019 09:24,,,,-0.8,1004.8,,
01/05/2019 09:30,,,,-0.8,1004.9,,
01/05/2019 09:36,,,,-0.7,1004.9,,
01/05/2019 09:42,,,,-0.6,1004.9,,
01/05/2019 09:48,,,,-0.6,1005.0,,
01/05/2019 09:54,,,,-0.5,1005.0,,
01/05/2019 10:00,,,,-0.4,1005.1,,
01/05/2019 10:06,,,,-0.3,1005.1,,
01/05/2019 10:12,,,,-0.3,1005.1,,
01/05/2019 10:18,,,,-0.2,1005.1,,
01/05/2019 10:24,,,,-0.2,1005.1,,
01/05/2019 10:30,,,,-0.2,1005.1,,
01/05/2019 10:36,,,,-0.1,1005.1,,
01/05/2019 10:42,,,,0.0,1005.1,,
01/05/2019 10:48,,,,0.1,1005.0,,
01/05/2019 10:54,,,,0.2,1004.9,,
01/05/2019 11:00,,,,0.3,1004.6,,
01/05/2019 11:06,,,,0.4,1004.6,,
01/05/2019 11:12,,,,0.5,1004.4,,
01/05/2019 11:18,,,,0.6,1004.5,,
01/05/2019 11:24,,,,0.6,1004.5,,
01/05/2019 11:30,,,,0.5,1004.3,,
01/05/2019 11:36,,,,0.5,1004.3,,
01/05/2019 11:42,,,,0.5,1004.3,,
01/05/2019 11:48,,,,0.6,1004.2,,
01/05/2019 11:54,,,,0.7,1004.1,,
01/05/2019 12:00,,,,0.8,1004.2,,
01/05/2019 12:06,,,,1.0,1004.1,,
01/05/2019 12:12,,,,1.1,1004.1,,
01/05/2019 12:18,,,,1.1,1004.0,,
01/05/2019 12:24,,,,1.1,1003.9,,
01/05/2019 12:30,,,,1.2,1003.9,,
01/05/2019 12:36,,,,1.2,1003.8,,
01/05/2019 12:42,,,,1.2,1003.8,,
01/05/2019 12:48,,,,1.2,1003.8,,
01/05/2019 12:54,,,,1.2,1003.8,,
01/05/2019 13:00,,,,1.2,1003.9,,
01/05/2019 13:06,,,,1.4,1004.0,,
01/05/2019 13:12,,,,1.5,1003.8,,
01/05/2019 13:18,,,,1.6,1003.7,,
01/05/2019 13:24,,,,1.5,1003.5,,
01/05/2019 13:30,,,,1.6,1003.5,,
01/05/2019 13:36,,,,1.6,1003.4,,
01/05/2019 13:42,,,,1.6,1003.2,,
01/05/2019 13:48,,,,1.7,1003.2,,
01/05/2019 13:54,,,,1.6,1003.4,,
01/05/2019 14:00,,,,1.6,1003.7,,
01/05/2019 14:06,,,,1.6,1003.8,,
01/05/2019 14:12,,,,1.5,1003.8,,
01/05/2019 14:18,,,,1.5,1003.8,,
01/05/2019 14:24,,,,1.6,1003.8,,
01/05/2019 14:30,,,,1.7,1003.9,,
01/05/2019 14:36,,,,1.7,1003.9,,
01/05/2019 14:42,,,,1.7,1004.1,,
01/05/2019 14:48,,,,1.7,1004.2,,
01/05/2019 14:54,,,,1.6,1004.2,,
01/05/2019 15:00,,,,1.6,1004.3,,
01/05/2019 15:06,,,,1.7,1004.4,,
01/05/2019 15:12,,,,1.7,1004.3,,
01/05/2019 15:18,,,,1.7,1004.5,,
01/05/2019 15:24,,,,1.7,1004.6,,
01/05/2019 15:30,,,,1.7,1004.6,,
01/05/2019 15:36,,,,1.7,1004.7,,
01/05/2019 15:42,,,,1.7,1005.0,,
01/05/2019 15:48,,,,1.6,1005.1,,
01/05/2019 15:54,,,,1.6,1005.0,,
01/05/2019 16:00,,,,1.6,1004.9,,
01/05/2019 16:06,,,,1.8,1004.8,,
01/05/2019 16:12,,,,1.8,1004.7,,
01/05/2019 16:18,,,,1.7,1004.4,,
01/05/2019 16:24,,,,1.6,1004.2,,
01/05/2019 16:30,,,,1.6,1004.1,,
01/05/2019 16:36,,,,1.5,1004.1,,
01/05/2019 16:42,,,,1.6,1004.7,,
01/05/2019 16:48,,,,1.5,1004.8,,
01/05/2019 16:54,,,,1.6,1005.1,,
01/05/2019 17:00,,,,1.7,1005.3,,
01/05/2019 17:06,,,,1.7,1005.5,,
01/05/2019 17:12,,,,1.7,1005.4,,
01/05/2019 17:18,,,,1.7,1005.5,,
01/05/2019 17:24,,,,1.6,1005.5,,
01/05/2019 17:30,,,,1.6,1005.5,,
01/05/2019 17:36,,,,1.5,1005.5,,
01/05/2019 17:42,,,,1.2,1005.7,,
01/05/2019 17:48,,,,1.4,1005.8,,
01/05/2019 17:54,,,,1.5,1005.8,,
01/05/2019 18:00,,,,1.4,1005.7,,
01/05/2019 18:06,,,,1.5,1005.8,,
01/05/2019 18:12,,,,1.7,1005.9,,
01/05/2019 18:18,,,,1.7,1006.0,,
01/05/2019 18:24,,,,1.7,1006.0,,
01/05/2019 18:30,,,,1.6,1006.1,,
01/05/2019 18:36,,,,1.7,1006.2,,
01/05/2019 18:42,,,,1.7,1006.3,,
01/05/2019 18:48,,,,1.6,1006.4,,
01/05/2019 18:54,,,,1.7,1006.3,,
01/05/2019 19:00,,,,1.6,1006.2,,
01/05/2019 19:06,,,,1.6,1006.4,,
01/05/2019 19:12,,,,1.6,1006.4,,
01/05/2019 19:18,,,,1.5,1006.5,,
01/05/2019 19:24,,,,1.5,1006.5,,
01/05/2019 19:30,,,,1.5,1006.7,,
