     1    731    191
     1      2    731
     2    801    731
     2      3    801
     3    757    801
     3      4    757
     4    627    757
     4      5    627
     5      6    627
     6    750    627
     6      7    750
     7      8    750
     8    793    750
     8      9    793
     9     10    806
     9    806    793
    10    820    806
    10     11    820
    11     12    820
    12     13    820
    13     14    784
    13    784    806
    13    806    820
    14     15    773
    14    773    784
    15     16    773
    16     17    711
    16    711    773
    17    959   1002
    17   1002    711
    18    958   1000
    18   1000   1003
    18   1003    959
    19     20   1015
    19   1015   1001
    19   1001    958
    20   1007   1012
    20   1012   1015
    20    961   1007
    21    997    961
    21    960    997
    22    990   1022
    22   1022   1009
    22   1009    960
    22     23    998
    22    998    990
    23     24    993
    23    993    998
    24     25    994
    24    994    993
    25     26    995
    25    995    994
    26     27   1004
    26   1004    996
    26    996    995
    27     28   1004
    28   1005   1004
    28     29    763
    28    763   1005
    29     30    763
    30     31    737
    30    737    763
    31     32    803
    31    803    737
    32     33     34
    32     34    826
    32    826    803
    34     35    826
    35     36    826
    36    718    803
    36    803    826
    36     37    718
    37    692    718
    37     38    692
    38     39    692
    39    673    641
    39    641    692
    39     40    673
    40     41    788
    40    788    673
    41     42    788
    42    693    788
    42     43    693
    43     44    693
    44     45    732
    44    732    693
    45    717    654
    45    654    732
    45     46    717
    46     47    702
    46    702    717
    47     48    825
    47    825    702
    48    780    735
    48    735    825
    48     49    780
    49     50    780
    50     51    638
    50    638    780
    51    677    610
    51    610    638
    51     52    677
    52     53    677
    53     54    659
    53    659    677
    54     55    685
    54    685    659
    55     56    713
    55    713    685
    56    747    713
    56     57    747
    57     58    747
    58    760    747
    58     59    760
    59     60    765
    59    765    760
    60    798    765
    60     61    798
    61     62    798
    62    807    759
    62    759    798
    62     63    807
    63     64    807
    64    797    770
    64    770    807
    64     65    797
    65    814    797
    65     66    814
    66     67    814
    67    802    814
    67     68    802
    68    809    802
    68     69    809
    69    821    809
    69     70    821
    70     71    818
    70    818    821
    71     72    818
    72     73    766
    72    766    818
    73     74    796
    73    796    766
    74     75    762
    74    762    697
    74    697    796
    75     76    762
    76     77    640
    76    640    762
    77     78    660
    77    660    640
    78     79    660
    79     80    758
    79    758    660
    80     81    758
    81    943    630
    81    630    758
    81     82    943
    82     83    748
    82    748    943
    83     84    748
    84    720    748
    84     85    720
    85     86    720
    86    778    720
    86     87    778
    87     88    778
    88    823    729
    88    729    778
    88     89    823
    89    751    823
    89     90    751
    90    817    676
    90    676    751
    90     91    817
    91     92    817
    92    738    817
    92     93    738
    93    761    738
    93     94    761
    94     95    761
    95    789    761
    95     96    789
    96     97    789
    97    727    707
    97    707    789
    97     98    727
    98    824    727
    98     99    824
    99    100    824
   100    101    734
   100    734    824
   101    102    594
   101    594    632
   101    632    734
   102    103    594
   103    104    954
   103    954    481
   103    481    594
   104    105    955
   104    955    954
   105    951    281
   105    281    955
   106    107    953
   106    953    281
   106    281    951
   107    108    288
   107    288    952
   107    952    953
   108    109    288
   109    110    528
   109    528    288
   110    111    636
   110    636    528
   111    112    636
   112    113    957
   112    957    636
   113    114    663
   113    663    956
   113    956    957
   114    115    664
   114    664    663
   115    116    794
   115    794    664
   116    117    794
   117    118    781
   117    781    672
   117    672    644
   117    644    794
   118    119    781
   119    120    687
   119    687    781
   120    121    698
   120    698    687
   121    122    774
   121    774    696
   121    696    698
   122    123    774
   123    124    699
   123    699    705
   123    705    774
   124    125    753
   124    753    699
   125    126    808
   125    808    753
   126    127    810
   126    810    725
   126    725    808
   127    128    810
   128    129    804
   128    804    724
   128    724    739
   128    739    810
   129    130    792
   129    792    804
   130    131    775
   130    775    792
   131    132    775
   132    133    785
   132    785    775
   133    134    790
   133    790    785
   134    135    811
   134    811    790
   135    136    811
   136    137    800
   136    800    811
   137    138    779
   137    779    800
   138    139    795
   138    795    779
   139    140    795
   140    141    822
   140    822    769
   140    769    795
   141    142    822
   142    143    816
   142    816    754
   142    754    822
   143    144    816
   144    145    776
   144    776    816
   145    146    813
   145    813    776
   146    147    681
   146    681    712
   146    712    813
   147    148    812
   147    812    667
   147    667    681
   148    149    812
   149    150    791
   149    791    733
   149    733    812
   150    151    752
   150    752    682
   150    682    791
   151    152    767
   151    767    752
   152    153    756
   152    756    767
   153    154    783
   153    783    716
   153    716    684
   153    684    756
   154    155    708
   154    708    783
   155    156    782
   155    782    708
   156    157    764
   156    764    782
   157    158    786
   157    786    764
   158    159    744
   158    744    786
   159    160    815
   159    815    744
   160    161    819
   160    819    815
   161    162    787
   161    787    819
   162    163    771
   162    771    787
   163    164    736
   163    736    771
   164    165    695
   164    695    736
   165    166    746
   165    746    695
   166    167    714
   166    714    746
   167    168    635
   167    635    714
   168    169    772
   168    772    635
   169    170    777
   169    777    655
   169    655    772
   170    171    799
   170    799    691
   170    691    777
   171    172    799
   172    173    749
   172    749    799
   173    174    740
   173    740    768
   173    768    749
   174    175    805
   174    805    740
   175    176    805
   176    177    805
   177    178    719
   177    719    805
   178    179    637
   178    637    719
   179    180    471
   179    471    637
   180    181    290
   180    290    471
   181    182    265
   181    265    290
   182    183    233
   182    233    265
   183    184    233
   184    185    221
   184    221    233
   185    186    949
   185    949    221
   186    187    949
   187    315    949
   187    188    315
   188    189    417
   188    417    315
   189    190    491
   189    491    417
   190    191    731
   190    731    605
   190    605    491
   192    193    835
   192    835    828
   192    828    203
   193    194    827
   193    827    835
   194    195    829
   194    829    827
   195    196    833
   195    833    829
   196    197    832
   196    832    833
   197    198    830
   197    830    832
   198    199    830
   199    839    830
   199    200    844
   199    844    839
   200    201    895
   200    895    899
   200    899    844
   201    202    877
   201    877    895
   202    203    877
   203    828    907
   203    907    877
   204    223    205
   204    205    214
   204    214    298
   204    298    295
   204    295    254
   204    254    223
   205    256    262
   205    262    214
   205    223    256
   206    226    215
   206    215    211
   206    211    207
   206    207    208
   206    208    226
   207    211    222
   207    222    240
   207    240    316
   207    316    208
   208    316    300
   208    300    216
   208    216    226
   209    252    257
   209    257    210
   209    210    212
   209    212    280
   209    280    279
   209    279    252
   210    257    286
   210    286    229
   210    229    230
   210    230    212
   211    215    267
   211    267    246
   211    246    222
   212    230    313
   212    313    284
   212    284    280
   213    247    249
   213    249    234
   213    234    261
   213    261    259
   213    259    225
   213    225    247
   214    262    263
   214    263    247
   214    247    225
   214    225    298
   215    293    310
   215    310    267
   215    226    293
   216    238    226
   216    300    326
   216    326    227
   216    227    238
   217    264    273
   217    273    258
   217    258    218
   217    218    219
   217    219    229
   217    229    264
   218    258    238
   218    238    227
   218    227    303
   218    303    224
   218    224    219
   219    224    299
   219    299    230
   219    230    229
   220    228    242
   220    242    221
   220    221    950
   220    950    272
   220    272    228
   221    242    233
   221    949    950
   222    246    223
   222    223    260
   222    260    240
   223    246    256
   223    254    260
   224    303    320
   224    320    299
   225    259    298
   226    238    293
   227    326    303
   228    231    239
   228    239    243
   228    243    242
   228    272    302
   228    302    287
   228    287    231
   229    286    264
   230    299    313
   231    248    239
   231    287    342
   231    342    248
   232    241    283
   232    283    236
   232    236    968
   232    968    969
   232    969    327
   232    327    241
   233    242    265
   234    249    251
   234    251    309
   234    309    261
   235    953    278
   235    278    245
   235    245    289
   235    289    322
   235    322    281
   235    281    953
   236    283    307
   236    307    294
   236    294    250
   236    250    970
   236    970    968
   237    251    244
   237    244    268
   237    268    319
   237    319    309
   237    309    251
   238    258    370
