#----|||----------------
NAME:100_Fahrrinne_Widenings_4950m**2
        995.500          7.500
          5.500          7.500
          5.500          2.500
        995.500          2.500
#----|||----------------   
NAME:110_Fahrrinne_Widenings_2475m**2
        500.500          7.500
          5.500          7.500
          5.500          2.500
        500.500          2.500
#----|||----------------
NAME:200_VK_Feld_890m**2
        777.500         19.500
        789.793         19.500
        799.793          9.500
        837.500          9.500
        837.500          0.500
        799.793          0.500
        789.793         -9.500
        777.500         -9.500
#----|||----------------
NAME:201_Abschnitt_1_2_1000m**2
        100.500          2.500  
        300.500          2.500  
        300.500          7.500  
        100.500          7.500  
#----|||----------------
NAME:202_Abschnitt_6_7_1000m**2
        700.500          2.500  
        900.500          2.500  
        900.500          7.500  
        700.500          7.500  
ENDFILE

