0	1.375	1.370092154
10	1.375	1.369654417
20	1.374	1.369216204
30	1.374	1.368777514
40	1.374	1.368338346
50	1.373	1.367898822
60	1.373	1.36745882
70	1.372	1.367018342
80	1.372	1.366577387
90	1.371	1.366136074
100	1.371	1.365694284
110	1.37	1.365252018
120	1.37	1.364809275
130	1.37	1.364366055
140	1.369	1.363922477
150	1.369	1.363478303
160	1.368	1.363033772
170	1.368	1.362588763
180	1.367	1.362143278
190	1.367	1.361697316
200	1.366	1.361250877
210	1.366	1.360803962
220	1.365	1.360356688
230	1.365	1.359908819
240	1.365	1.359460473
250	1.364	1.359011769
260	1.364	1.358562469
270	1.363	1.358112812
280	1.363	1.357662559
290	1.362	1.357211947
300	1.362	1.35676074
310	1.361	1.356309056
320	1.361	1.355857015
330	1.36	1.355404377
340	1.36	1.354951262
350	1.36	1.354497671
360	1.359	1.354043603
370	1.359	1.353589058
380	1.358	1.353133917
390	1.358	1.352678418
400	1.357	1.352222323
410	1.357	1.351765752
420	1.356	1.351308584
430	1.356	1.350851059
440	1.355	1.350392938
450	1.355	1.34993434
460	1.354	1.349475145
470	1.354	1.349015474
480	1.353	1.348555326
490	1.353	1.348094583
500	1.353	1.347633362
510	1.352	1.347171545
520	1.352	1.346709132
530	1.351	1.346246243
540	1.351	1.345782876
550	1.35	1.345318794
560	1.35	1.344854236
570	1.349	1.3443892
580	1.349	1.34392345
590	1.348	1.343457222
600	1.348	1.342990279
610	1.347	1.34252286
620	1.347	1.342054844
630	1.346	1.341586232
640	1.346	1.341116905
650	1.345	1.340646982
660	1.345	1.340176582
670	1.344	1.339705467
680	1.344	1.339233637
690	1.343	1.33876121
700	1.343	1.338288188
710	1.343	1.33781445
720	1.342	1.337340117
730	1.342	1.336865067
740	1.341	1.336389422
750	1.341	1.335913062
760	1.34	1.335435987
770	1.34	1.334958196
780	1.339	1.334479809
790	1.339	1.334000707
800	1.338	1.333520889
810	1.338	1.333040357
820	1.337	1.332559109
830	1.337	1.332077146
840	1.336	1.331594586
850	1.336	1.331111193
860	1.335	1.330627203
870	1.335	1.330142379
880	1.334	1.329656959
890	1.334	1.329170823
900	1.333	1.328683972
910	1.333	1.328196406
920	1.332	1.327708125
930	1.332	1.327219129
940	1.331	1.326729536
950	1.331	1.326239228
960	1.33	1.325748205
970	1.33	1.325256586
980	1.329	1.324764252
990	1.329	1.324271321
1000	1.328	1.323777676
1010	1.328	1.323283315
1020	1.327	1.322788477
1030	1.327	1.322292924
1040	1.326	1.321796775
1050	1.326	1.321299911
1060	1.325	1.320802569
1070	1.325	1.320304513
1080	1.324	1.319805861
